epoch 103/400,training accuracy:0.642432,validation accuracy:0.641535
epoch 104/400,training accuracy:0.642191,validation accuracy:0.641876
epoch 105/400,training accuracy:0.642264,validation accuracy:0.641534
epoch 106/400,training accuracy:0.642610,validation accuracy:0.641610
epoch 107/400,training accuracy:0.642594,validation accuracy:0.641670
epoch 108/400,training accuracy:0.642675,validation accuracy:0.641591
epoch 109/400,training accuracy:0.642985,validation accuracy:0.641962
epoch 110/400,training accuracy:0.642703,validation accuracy:0.641729
epoch 111/400,training accuracy:0.643200,validation accuracy:0.641436
epoch 112/400,training accuracy:0.642810,validation accuracy:0.641497
epoch 113/400,training accuracy:0.643252,validation accuracy:0.642440
epoch 114/400,training accuracy:0.642930,validation accuracy:0.641806
epoch 115/400,training accuracy:0.643194,validation accuracy:0.641925
epoch 116/400,training accuracy:0.643178,validation accuracy:0.642379
epoch 117/400,training accuracy:0.643286,validation accuracy:0.642173
epoch 118/400,training accuracy:0.643379,validation accuracy:0.641718
epoch 119/400,training accuracy:0.643516,validation accuracy:0.641733
epoch 120/400,training accuracy:0.643495,validation accuracy:0.642200
epoch 121/400,training accuracy:0.643383,validation accuracy:0.642523
epoch 122/400,training accuracy:0.643506,validation accuracy:0.642104
epoch 123/400,training accuracy:0.643508,validation accuracy:0.642307
epoch 124/400,training accuracy:0.643537,validation accuracy:0.642879
epoch 125/400,training accuracy:0.643434,validation accuracy:0.642939
epoch 126/400,training accuracy:0.643966,validation accuracy:0.642511
epoch 127/400,training accuracy:0.643788,validation accuracy:0.642601
epoch 128/400,training accuracy:0.643958,validation accuracy:0.643033
epoch 129/400,training accuracy:0.644094,validation accuracy:0.642601
epoch 130/400,training accuracy:0.643932,validation accuracy:0.642108
epoch 131/400,training accuracy:0.643991,validation accuracy:0.643511
epoch 132/400,training accuracy:0.643869,validation accuracy:0.642799
epoch 133/400,training accuracy:0.644220,validation accuracy:0.643059
epoch 134/400,training accuracy:0.644205,validation accuracy:0.642561
epoch 135/400,training accuracy:0.643955,validation accuracy:0.642646
epoch 136/400,training accuracy:0.643810,validation accuracy:0.643008
epoch 137/400,training accuracy:0.644218,validation accuracy:0.643197
epoch 138/400,training accuracy:0.644067,validation accuracy:0.642378
epoch 139/400,training accuracy:0.644305,validation accuracy:0.643325
epoch 140/400,training accuracy:0.644495,validation accuracy:0.643026
epoch 141/400,training accuracy:0.644603,validation accuracy:0.642862
epoch 142/400,training accuracy:0.644294,validation accuracy:0.643271
epoch 143/400,training accuracy:0.644734,validation accuracy:0.643449
epoch 144/400,training accuracy:0.644591,validation accuracy:0.642967
epoch 145/400,training accuracy:0.644677,validation accuracy:0.642792
epoch 146/400,training accuracy:0.644437,validation accuracy:0.642989
epoch 147/400,training accuracy:0.644882,validation accuracy:0.642880
epoch 148/400,training accuracy:0.645368,validation accuracy:0.643453
epoch 149/400,training accuracy:0.644833,validation accuracy:0.643593
epoch 150/400,training accuracy:0.645053,validation accuracy:0.642972
epoch 151/400,training accuracy:0.644936,validation accuracy:0.643664
epoch 152/400,training accuracy:0.645256,validation accuracy:0.643383
epoch 153/400,training accuracy:0.644936,validation accuracy:0.643156
epoch 154/400,training accuracy:0.645381,validation accuracy:0.643294
epoch 155/400,training accuracy:0.645295,validation accuracy:0.643938
epoch 156/400,training accuracy:0.644922,validation accuracy:0.642893
epoch 157/400,training accuracy:0.645387,validation accuracy:0.643558
epoch 158/400,training accuracy:0.645380,validation accuracy:0.643533
epoch 159/400,training accuracy:0.645097,validation accuracy:0.643724
epoch 160/400,training accuracy:0.645215,validation accuracy:0.644018
epoch 161/400,training accuracy:0.645409,validation accuracy:0.643783
epoch 162/400,training accuracy:0.645861,validation accuracy:0.643849
epoch 163/400,training accuracy:0.645418,validation accuracy:0.643715
epoch 164/400,training accuracy:0.645775,validation accuracy:0.644236
epoch 165/400,training accuracy:0.646102,validation accuracy:0.643824
epoch 166/400,training accuracy:0.646160,validation accuracy:0.643966
epoch 167/400,training accuracy:0.645774,validation accuracy:0.643944
epoch 168/400,training accuracy:0.645711,validation accuracy:0.643704
epoch 169/400,training accuracy:0.645667,validation accuracy:0.643896
epoch 170/400,training accuracy:0.646302,validation accuracy:0.644551
epoch 171/400,training accuracy:0.645874,validation accuracy:0.644506
epoch 172/400,training accuracy:0.646224,validation accuracy:0.644744
epoch 173/400,training accuracy:0.646299,validation accuracy:0.644443
epoch 174/400,training accuracy:0.645953,validation accuracy:0.644349
epoch 175/400,training accuracy:0.646188,validation accuracy:0.644223
epoch 176/400,training accuracy:0.646134,validation accuracy:0.643792
epoch 177/400,training accuracy:0.645911,validation accuracy:0.644167
epoch 178/400,training accuracy:0.646514,validation accuracy:0.644688
epoch 179/400,training accuracy:0.646089,validation accuracy:0.644164
epoch 180/400,training accuracy:0.647057,validation accuracy:0.644511
epoch 181/400,training accuracy:0.646739,validation accuracy:0.644671
epoch 182/400,training accuracy:0.646995,validation accuracy:0.644554
epoch 183/400,training accuracy:0.646823,validation accuracy:0.644700
epoch 184/400,training accuracy:0.646617,validation accuracy:0.644868
epoch 185/400,training accuracy:0.646692,validation accuracy:0.644994
epoch 186/400,training accuracy:0.647050,validation accuracy:0.645010
epoch 187/400,training accuracy:0.646928,validation accuracy:0.644969
epoch 188/400,training accuracy:0.647013,validation accuracy:0.644983
epoch 189/400,training accuracy:0.646988,validation accuracy:0.645243
epoch 190/400,training accuracy:0.646554,validation accuracy:0.644927
epoch 191/400,training accuracy:0.647181,validation accuracy:0.644862
epoch 192/400,training accuracy:0.646741,validation accuracy:0.645549
epoch 193/400,training accuracy:0.646976,validation accuracy:0.644523
epoch 194/400,training accuracy:0.647339,validation accuracy:0.645008
epoch 195/400,training accuracy:0.647259,validation accuracy:0.645132
epoch 196/400,training accuracy:0.647818,validation accuracy:0.644770
epoch 197/400,training accuracy:0.646798,validation accuracy:0.644953
epoch 198/400,training accuracy:0.647409,validation accuracy:0.645301
epoch 199/400,training accuracy:0.647898,validation accuracy:0.644797
epoch 200/400,training accuracy:0.647499,validation accuracy:0.645793
epoch 201/400,training accuracy:0.647370,validation accuracy:0.645128
epoch 202/400,training accuracy:0.647331,validation accuracy:0.645079
epoch 203/400,training accuracy:0.647522,validation accuracy:0.645362
epoch 204/400,training accuracy:0.647752,validation accuracy:0.645284
epoch 205/400,training accuracy:0.647936,validation accuracy:0.645755
epoch 206/400,training accuracy:0.647938,validation accuracy:0.644803
epoch 207/400,training accuracy:0.648002,validation accuracy:0.645634
epoch 208/400,training accuracy:0.647959,validation accuracy:0.645261
epoch 209/400,training accuracy:0.647663,validation accuracy:0.645283
epoch 210/400,training accuracy:0.647950,validation accuracy:0.645670
epoch 211/400,training accuracy:0.647657,validation accuracy:0.645533
epoch 212/400,training accuracy:0.648131,validation accuracy:0.645423
epoch 213/400,training accuracy:0.648340,validation accuracy:0.646097
epoch 214/400,training accuracy:0.648231,validation accuracy:0.645554
epoch 215/400,training accuracy:0.648366,validation accuracy:0.645402
epoch 216/400,training accuracy:0.647916,validation accuracy:0.646169
epoch 217/400,training accuracy:0.648393,validation accuracy:0.645904
epoch 218/400,training accuracy:0.648399,validation accuracy:0.645702
epoch 219/400,training accuracy:0.648206,validation accuracy:0.646004
epoch 220/400,training accuracy:0.648191,validation accuracy:0.646148
epoch 221/400,training accuracy:0.648506,validation accuracy:0.646116
epoch 222/400,training accuracy:0.648398,validation accuracy:0.645875
epoch 223/400,training accuracy:0.648746,validation accuracy:0.646034
epoch 224/400,training accuracy:0.648349,validation accuracy:0.646033
epoch 225/400,training accuracy:0.648828,validation accuracy:0.646123
epoch 226/400,training accuracy:0.648606,validation accuracy:0.646244
epoch 227/400,training accuracy:0.649039,validation accuracy:0.646322
epoch 228/400,training accuracy:0.648950,validation accuracy:0.646096
epoch 229/400,training accuracy:0.648798,validation accuracy:0.646445
epoch 230/400,training accuracy:0.648718,validation accuracy:0.646218
epoch 231/400,training accuracy:0.648852,validation accuracy:0.646265
epoch 232/400,training accuracy:0.649136,validation accuracy:0.646237
epoch 233/400,training accuracy:0.648904,validation accuracy:0.646754
epoch 234/400,training accuracy:0.648975,validation accuracy:0.645905
epoch 235/400,training accuracy:0.649241,validation accuracy:0.646392
epoch 236/400,training accuracy:0.649211,validation accuracy:0.646315
epoch 237/400,training accuracy:0.649252,validation accuracy:0.646087
epoch 238/400,training accuracy:0.649309,validation accuracy:0.646654
epoch 239/400,training accuracy:0.649396,validation accuracy:0.646425
epoch 240/400,training accuracy:0.649650,validation accuracy:0.647052
epoch 241/400,training accuracy:0.648945,validation accuracy:0.646174
epoch 242/400,training accuracy:0.649106,validation accuracy:0.646898
epoch 243/400,training accuracy:0.649344,validation accuracy:0.646801
epoch 244/400,training accuracy:0.649630,validation accuracy:0.646723
epoch 245/400,training accuracy:0.649240,validation accuracy:0.646832
epoch 246/400,training accuracy:0.649837,validation accuracy:0.646569
epoch 247/400,training accuracy:0.649479,validation accuracy:0.647164
epoch 248/400,training accuracy:0.649498,validation accuracy:0.646491
epoch 249/400,training accuracy:0.649788,validation accuracy:0.646606
epoch 250/400,training accuracy:0.649858,validation accuracy:0.646436
epoch 251/400,training accuracy:0.649734,validation accuracy:0.646616
epoch 252/400,training accuracy:0.650165,validation accuracy:0.647220
epoch 253/400,training accuracy:0.649840,validation accuracy:0.646561
epoch 254/400,training accuracy:0.650026,validation accuracy:0.647337
epoch 255/400,training accuracy:0.650083,validation accuracy:0.647113
epoch 256/400,training accuracy:0.649544,validation accuracy:0.646676
epoch 257/400,training accuracy:0.650171,validation accuracy:0.646878
epoch 258/400,training accuracy:0.649823,validation accuracy:0.647072
epoch 259/400,training accuracy:0.650263,validation accuracy:0.647354
epoch 260/400,training accuracy:0.650262,validation accuracy:0.647086
epoch 261/400,training accuracy:0.650254,validation accuracy:0.647704
epoch 262/400,training accuracy:0.650705,validation accuracy:0.647219
epoch 263/400,training accuracy:0.650260,validation accuracy:0.647341
epoch 264/400,training accuracy:0.650219,validation accuracy:0.647586
epoch 265/400,training accuracy:0.650398,validation accuracy:0.647162
epoch 266/400,training accuracy:0.650109,validation accuracy:0.647121
epoch 267/400,training accuracy:0.650766,validation accuracy:0.646972
epoch 268/400,training accuracy:0.650565,validation accuracy:0.647395
epoch 269/400,training accuracy:0.650603,validation accuracy:0.647483
epoch 270/400,training accuracy:0.651031,validation accuracy:0.647221
epoch 271/400,training accuracy:0.650499,validation accuracy:0.646763
epoch 272/400,training accuracy:0.650445,validation accuracy:0.647206
epoch 273/400,training accuracy:0.650535,validation accuracy:0.647329
epoch 274/400,training accuracy:0.650557,validation accuracy:0.647179
epoch 275/400,training accuracy:0.650720,validation accuracy:0.647467
epoch 276/400,training accuracy:0.650590,validation accuracy:0.647537
epoch 277/400,training accuracy:0.650946,validation accuracy:0.647627
epoch 278/400,training accuracy:0.650507,validation accuracy:0.646944
epoch 279/400,training accuracy:0.650968,validation accuracy:0.647943
epoch 280/400,training accuracy:0.650640,validation accuracy:0.647746
epoch 281/400,training accuracy:0.650538,validation accuracy:0.647604
epoch 282/400,training accuracy:0.650834,validation accuracy:0.647689
epoch 283/400,training accuracy:0.650893,validation accuracy:0.647700
epoch 284/400,training accuracy:0.650895,validation accuracy:0.647270
epoch 285/400,training accuracy:0.651346,validation accuracy:0.647640
epoch 286/400,training accuracy:0.651059,validation accuracy:0.647442
epoch 287/400,training accuracy:0.651034,validation accuracy:0.647364
epoch 288/400,training accuracy:0.651309,validation accuracy:0.647881
epoch 289/400,training accuracy:0.651141,validation accuracy:0.647932
epoch 290/400,training accuracy:0.651292,validation accuracy:0.647380
epoch 291/400,training accuracy:0.651395,validation accuracy:0.647831
epoch 292/400,training accuracy:0.651345,validation accuracy:0.647758
epoch 293/400,training accuracy:0.651232,validation accuracy:0.647691
epoch 294/400,training accuracy:0.651768,validation accuracy:0.647924
epoch 295/400,training accuracy:0.651033,validation accuracy:0.647937
epoch 296/400,training accuracy:0.651506,validation accuracy:0.647639
epoch 297/400,training accuracy:0.651357,validation accuracy:0.648470
epoch 298/400,training accuracy:0.651403,validation accuracy:0.647186
epoch 299/400,training accuracy:0.651331,validation accuracy:0.648060
epoch 300/400,training accuracy:0.651317,validation accuracy:0.648115
epoch 301/400,training accuracy:0.651549,validation accuracy:0.647931
epoch 302/400,training accuracy:0.651421,validation accuracy:0.648484
epoch 303/400,training accuracy:0.651596,validation accuracy:0.647853
epoch 304/400,training accuracy:0.651459,validation accuracy:0.648248
epoch 305/400,training accuracy:0.651400,validation accuracy:0.648333
epoch 306/400,training accuracy:0.652223,validation accuracy:0.648508
epoch 307/400,training accuracy:0.651846,validation accuracy:0.647849
epoch 308/400,training accuracy:0.652031,validation accuracy:0.647916
epoch 309/400,training accuracy:0.651677,validation accuracy:0.648584
epoch 310/400,training accuracy:0.652038,validation accuracy:0.648198
epoch 311/400,training accuracy:0.651719,validation accuracy:0.648708
epoch 312/400,training accuracy:0.652079,validation accuracy:0.648230
epoch 313/400,training accuracy:0.652043,validation accuracy:0.648320
epoch 314/400,training accuracy:0.652121,validation accuracy:0.648476
epoch 315/400,training accuracy:0.652204,validation accuracy:0.648011
epoch 316/400,training accuracy:0.652008,validation accuracy:0.648592
epoch 317/400,training accuracy:0.652305,validation accuracy:0.648836
epoch 318/400,training accuracy:0.652687,validation accuracy:0.647936
epoch 319/400,training accuracy:0.652345,validation accuracy:0.648683
epoch 320/400,training accuracy:0.652599,validation accuracy:0.648230
epoch 321/400,training accuracy:0.652305,validation accuracy:0.648211
epoch 322/400,training accuracy:0.652219,validation accuracy:0.648547
epoch 323/400,training accuracy:0.652272,validation accuracy:0.648528
epoch 324/400,training accuracy:0.652525,validation accuracy:0.648601
epoch 325/400,training accuracy:0.652509,validation accuracy:0.648443
epoch 326/400,training accuracy:0.652424,validation accuracy:0.648166
epoch 327/400,training accuracy:0.652646,validation accuracy:0.648416
epoch 328/400,training accuracy:0.652082,validation accuracy:0.648470
epoch 329/400,training accuracy:0.652412,validation accuracy:0.648537
epoch 330/400,training accuracy:0.652289,validation accuracy:0.648782
epoch 331/400,training accuracy:0.652445,validation accuracy:0.648896
epoch 332/400,training accuracy:0.652628,validation accuracy:0.648796
epoch 333/400,training accuracy:0.652511,validation accuracy:0.648825
epoch 334/400,training accuracy:0.652879,validation accuracy:0.648271
epoch 335/400,training accuracy:0.652577,validation accuracy:0.648760
epoch 336/400,training accuracy:0.652299,validation accuracy:0.648726
epoch 337/400,training accuracy:0.652662,validation accuracy:0.648418
epoch 338/400,training accuracy:0.653085,validation accuracy:0.648637
