epoch 0/600,training accuracy:0.485466,validation accuracy:0.507931
epoch 1/600,training accuracy:0.516913,validation accuracy:0.519160
epoch 2/600,training accuracy:0.520174,validation accuracy:0.520225
epoch 3/600,training accuracy:0.520992,validation accuracy:0.520843
epoch 4/600,training accuracy:0.521289,validation accuracy:0.520428
epoch 5/600,training accuracy:0.521497,validation accuracy:0.521169
epoch 6/600,training accuracy:0.521086,validation accuracy:0.521074
epoch 7/600,training accuracy:0.521942,validation accuracy:0.521363
epoch 8/600,training accuracy:0.521965,validation accuracy:0.521612
epoch 9/600,training accuracy:0.522499,validation accuracy:0.521491
epoch 10/600,training accuracy:0.522364,validation accuracy:0.522327
epoch 11/600,training accuracy:0.522760,validation accuracy:0.522015
epoch 12/600,training accuracy:0.523410,validation accuracy:0.522045
epoch 13/600,training accuracy:0.523592,validation accuracy:0.523010
epoch 14/600,training accuracy:0.523646,validation accuracy:0.524054
epoch 15/600,training accuracy:0.523323,validation accuracy:0.523296
epoch 16/600,training accuracy:0.524457,validation accuracy:0.524602
epoch 17/600,training accuracy:0.525377,validation accuracy:0.524775
epoch 18/600,training accuracy:0.526129,validation accuracy:0.525928
epoch 19/600,training accuracy:0.526489,validation accuracy:0.527869
epoch 20/600,training accuracy:0.527860,validation accuracy:0.527832
epoch 21/600,training accuracy:0.529007,validation accuracy:0.528379
epoch 22/600,training accuracy:0.530117,validation accuracy:0.529484
epoch 23/600,training accuracy:0.531295,validation accuracy:0.531501
epoch 24/600,training accuracy:0.532550,validation accuracy:0.532845
epoch 25/600,training accuracy:0.535439,validation accuracy:0.533884
epoch 26/600,training accuracy:0.535759,validation accuracy:0.535250
epoch 27/600,training accuracy:0.536732,validation accuracy:0.536741
epoch 28/600,training accuracy:0.538151,validation accuracy:0.538959
epoch 29/600,training accuracy:0.541022,validation accuracy:0.540599
epoch 30/600,training accuracy:0.542978,validation accuracy:0.540615
epoch 31/600,training accuracy:0.543874,validation accuracy:0.544578
epoch 32/600,training accuracy:0.544709,validation accuracy:0.545287
epoch 33/600,training accuracy:0.548239,validation accuracy:0.546921
epoch 34/600,training accuracy:0.548827,validation accuracy:0.549520
epoch 35/600,training accuracy:0.550977,validation accuracy:0.549618
epoch 36/600,training accuracy:0.551352,validation accuracy:0.551476
epoch 37/600,training accuracy:0.553757,validation accuracy:0.553476
epoch 38/600,training accuracy:0.556008,validation accuracy:0.555583
epoch 39/600,training accuracy:0.557028,validation accuracy:0.555829
epoch 40/600,training accuracy:0.557265,validation accuracy:0.556665
epoch 41/600,training accuracy:0.558693,validation accuracy:0.559708
epoch 42/600,training accuracy:0.560773,validation accuracy:0.558867
epoch 43/600,training accuracy:0.561666,validation accuracy:0.561709
epoch 44/600,training accuracy:0.562583,validation accuracy:0.562917
epoch 45/600,training accuracy:0.564098,validation accuracy:0.563507
epoch 46/600,training accuracy:0.565908,validation accuracy:0.564063
epoch 47/600,training accuracy:0.565982,validation accuracy:0.567797
epoch 48/600,training accuracy:0.567128,validation accuracy:0.566364
epoch 49/600,training accuracy:0.568220,validation accuracy:0.566512
epoch 50/600,training accuracy:0.569240,validation accuracy:0.569766
epoch 51/600,training accuracy:0.569328,validation accuracy:0.570546
epoch 52/600,training accuracy:0.571776,validation accuracy:0.570416
epoch 53/600,training accuracy:0.572980,validation accuracy:0.570919
epoch 54/600,training accuracy:0.571668,validation accuracy:0.571778
epoch 55/600,training accuracy:0.573447,validation accuracy:0.572345
epoch 56/600,training accuracy:0.574345,validation accuracy:0.573977
epoch 57/600,training accuracy:0.573811,validation accuracy:0.574272
epoch 58/600,training accuracy:0.575324,validation accuracy:0.574835
epoch 59/600,training accuracy:0.575792,validation accuracy:0.575567
epoch 60/600,training accuracy:0.576363,validation accuracy:0.576845
epoch 61/600,training accuracy:0.577441,validation accuracy:0.576819
epoch 62/600,training accuracy:0.577914,validation accuracy:0.578635
epoch 63/600,training accuracy:0.578727,validation accuracy:0.577680
epoch 64/600,training accuracy:0.579629,validation accuracy:0.579217
epoch 65/600,training accuracy:0.579521,validation accuracy:0.577961
epoch 66/600,training accuracy:0.580466,validation accuracy:0.577344
epoch 67/600,training accuracy:0.581272,validation accuracy:0.580701
epoch 68/600,training accuracy:0.581215,validation accuracy:0.580953
epoch 69/600,training accuracy:0.580190,validation accuracy:0.580438
epoch 70/600,training accuracy:0.581853,validation accuracy:0.580467
epoch 71/600,training accuracy:0.582322,validation accuracy:0.582735
epoch 72/600,training accuracy:0.582864,validation accuracy:0.582009
epoch 73/600,training accuracy:0.584189,validation accuracy:0.581459
epoch 74/600,training accuracy:0.583442,validation accuracy:0.582745
