epoch 0/200,training accuracy:0.520613,validation accuracy:0.520519
epoch 1/200,training accuracy:0.522828,validation accuracy:0.523842
epoch 2/200,training accuracy:0.526250,validation accuracy:0.528086
epoch 3/200,training accuracy:0.531178,validation accuracy:0.533564
epoch 4/200,training accuracy:0.537088,validation accuracy:0.539284
epoch 5/200,training accuracy:0.543159,validation accuracy:0.545635
epoch 6/200,training accuracy:0.551031,validation accuracy:0.551762
epoch 7/200,training accuracy:0.556612,validation accuracy:0.557806
epoch 8/200,training accuracy:0.563496,validation accuracy:0.562977
epoch 9/200,training accuracy:0.568561,validation accuracy:0.567855
epoch 10/200,training accuracy:0.572055,validation accuracy:0.571786
epoch 11/200,training accuracy:0.576416,validation accuracy:0.575146
epoch 12/200,training accuracy:0.578990,validation accuracy:0.577874
epoch 13/200,training accuracy:0.581512,validation accuracy:0.580064
epoch 14/200,training accuracy:0.583940,validation accuracy:0.581907
epoch 15/200,training accuracy:0.585761,validation accuracy:0.584018
epoch 16/200,training accuracy:0.587646,validation accuracy:0.585863
epoch 17/200,training accuracy:0.588784,validation accuracy:0.587459
epoch 18/200,training accuracy:0.590258,validation accuracy:0.588986
epoch 19/200,training accuracy:0.591303,validation accuracy:0.590343
epoch 20/200,training accuracy:0.592473,validation accuracy:0.591716
epoch 21/200,training accuracy:0.593644,validation accuracy:0.592716
epoch 22/200,training accuracy:0.594687,validation accuracy:0.593475
epoch 23/200,training accuracy:0.595518,validation accuracy:0.594286
epoch 24/200,training accuracy:0.596571,validation accuracy:0.595283
epoch 25/200,training accuracy:0.597244,validation accuracy:0.596061
epoch 26/200,training accuracy:0.597999,validation accuracy:0.596844
epoch 27/200,training accuracy:0.598839,validation accuracy:0.597647
epoch 28/200,training accuracy:0.599279,validation accuracy:0.598434
epoch 29/200,training accuracy:0.599903,validation accuracy:0.598797
epoch 30/200,training accuracy:0.600440,validation accuracy:0.599438
epoch 31/200,training accuracy:0.600862,validation accuracy:0.600173
epoch 32/200,training accuracy:0.601359,validation accuracy:0.600545
epoch 33/200,training accuracy:0.601725,validation accuracy:0.600613
epoch 34/200,training accuracy:0.602073,validation accuracy:0.601081
epoch 35/200,training accuracy:0.602327,validation accuracy:0.601210
epoch 36/200,training accuracy:0.602739,validation accuracy:0.601353
epoch 37/200,training accuracy:0.603046,validation accuracy:0.601685
epoch 38/200,training accuracy:0.603235,validation accuracy:0.602221
epoch 39/200,training accuracy:0.603641,validation accuracy:0.602649
epoch 40/200,training accuracy:0.603798,validation accuracy:0.602783
epoch 41/200,training accuracy:0.604020,validation accuracy:0.602948
epoch 42/200,training accuracy:0.604344,validation accuracy:0.603017
epoch 43/200,training accuracy:0.604323,validation accuracy:0.603263
epoch 44/200,training accuracy:0.604650,validation accuracy:0.603328
epoch 45/200,training accuracy:0.604713,validation accuracy:0.603586
epoch 46/200,training accuracy:0.604891,validation accuracy:0.603582
epoch 47/200,training accuracy:0.605167,validation accuracy:0.603995
epoch 48/200,training accuracy:0.605307,validation accuracy:0.604188
epoch 49/200,training accuracy:0.605288,validation accuracy:0.604308
epoch 50/200,training accuracy:0.605651,validation accuracy:0.604560
epoch 51/200,training accuracy:0.605742,validation accuracy:0.604731
epoch 52/200,training accuracy:0.605902,validation accuracy:0.604938
epoch 53/200,training accuracy:0.606022,validation accuracy:0.604945
epoch 54/200,training accuracy:0.606046,validation accuracy:0.605091
epoch 55/200,training accuracy:0.606207,validation accuracy:0.605153
epoch 56/200,training accuracy:0.606365,validation accuracy:0.605282
epoch 57/200,training accuracy:0.606300,validation accuracy:0.605425
epoch 58/200,training accuracy:0.606451,validation accuracy:0.605582
epoch 59/200,training accuracy:0.606425,validation accuracy:0.605510
epoch 60/200,training accuracy:0.606377,validation accuracy:0.605711
epoch 61/200,training accuracy:0.606536,validation accuracy:0.605689
epoch 62/200,training accuracy:0.606541,validation accuracy:0.605627
epoch 63/200,training accuracy:0.606720,validation accuracy:0.605818
epoch 64/200,training accuracy:0.606705,validation accuracy:0.605873
epoch 65/200,training accuracy:0.606755,validation accuracy:0.605831
epoch 66/200,training accuracy:0.606730,validation accuracy:0.606035
epoch 67/200,training accuracy:0.606756,validation accuracy:0.606064
epoch 68/200,training accuracy:0.606784,validation accuracy:0.606223
epoch 69/200,training accuracy:0.606829,validation accuracy:0.606220
epoch 70/200,training accuracy:0.606897,validation accuracy:0.606247
epoch 71/200,training accuracy:0.607040,validation accuracy:0.606237
epoch 72/200,training accuracy:0.607068,validation accuracy:0.606339
epoch 73/200,training accuracy:0.607089,validation accuracy:0.606486
epoch 74/200,training accuracy:0.607181,validation accuracy:0.606525
epoch 75/200,training accuracy:0.607161,validation accuracy:0.606464
epoch 76/200,training accuracy:0.607278,validation accuracy:0.606457
epoch 77/200,training accuracy:0.607272,validation accuracy:0.606659
epoch 78/200,training accuracy:0.607402,validation accuracy:0.606653
epoch 79/200,training accuracy:0.607391,validation accuracy:0.606734
epoch 80/200,training accuracy:0.607402,validation accuracy:0.606886
epoch 81/200,training accuracy:0.607516,validation accuracy:0.606863
epoch 82/200,training accuracy:0.607682,validation accuracy:0.606983
epoch 83/200,training accuracy:0.607601,validation accuracy:0.607013
epoch 84/200,training accuracy:0.607566,validation accuracy:0.607019
epoch 85/200,training accuracy:0.607580,validation accuracy:0.607010
epoch 86/200,training accuracy:0.607806,validation accuracy:0.607208
epoch 87/200,training accuracy:0.607716,validation accuracy:0.607263
epoch 88/200,training accuracy:0.607784,validation accuracy:0.607337
epoch 89/200,training accuracy:0.607767,validation accuracy:0.607210
epoch 90/200,training accuracy:0.607782,validation accuracy:0.607213
epoch 91/200,training accuracy:0.607908,validation accuracy:0.607304
epoch 92/200,training accuracy:0.607814,validation accuracy:0.607251
epoch 93/200,training accuracy:0.607975,validation accuracy:0.607010
epoch 94/200,training accuracy:0.608142,validation accuracy:0.607188
epoch 95/200,training accuracy:0.608040,validation accuracy:0.607231
epoch 96/200,training accuracy:0.608068,validation accuracy:0.607197
epoch 97/200,training accuracy:0.607994,validation accuracy:0.607135
epoch 98/200,training accuracy:0.608064,validation accuracy:0.607117
epoch 99/200,training accuracy:0.608169,validation accuracy:0.607236
epoch 100/200,training accuracy:0.608176,validation accuracy:0.607095
epoch 101/200,training accuracy:0.608198,validation accuracy:0.607226
epoch 102/200,training accuracy:0.608145,validation accuracy:0.607278
epoch 103/200,training accuracy:0.608167,validation accuracy:0.607176
epoch 104/200,training accuracy:0.608187,validation accuracy:0.607237
epoch 105/200,training accuracy:0.608228,validation accuracy:0.607266
epoch 106/200,training accuracy:0.608327,validation accuracy:0.607251
epoch 107/200,training accuracy:0.608271,validation accuracy:0.607243
epoch 108/200,training accuracy:0.608296,validation accuracy:0.607394
epoch 109/200,training accuracy:0.608339,validation accuracy:0.607306
epoch 110/200,training accuracy:0.608203,validation accuracy:0.607220
epoch 111/200,training accuracy:0.608353,validation accuracy:0.607370
epoch 112/200,training accuracy:0.608441,validation accuracy:0.607417
epoch 113/200,training accuracy:0.608337,validation accuracy:0.607339
epoch 114/200,training accuracy:0.608424,validation accuracy:0.607417
epoch 115/200,training accuracy:0.608437,validation accuracy:0.607335
epoch 116/200,training accuracy:0.608488,validation accuracy:0.607391
epoch 117/200,training accuracy:0.608374,validation accuracy:0.607336
epoch 118/200,training accuracy:0.608499,validation accuracy:0.607336
epoch 119/200,training accuracy:0.608520,validation accuracy:0.607361
epoch 120/200,training accuracy:0.608522,validation accuracy:0.607392
epoch 121/200,training accuracy:0.608472,validation accuracy:0.607474
epoch 122/200,training accuracy:0.608490,validation accuracy:0.607307
epoch 123/200,training accuracy:0.608545,validation accuracy:0.607355
epoch 124/200,training accuracy:0.608662,validation accuracy:0.607357
epoch 125/200,training accuracy:0.608657,validation accuracy:0.607437
epoch 126/200,training accuracy:0.608688,validation accuracy:0.607445
epoch 127/200,training accuracy:0.608646,validation accuracy:0.607344
