epoch 0/800,training accuracy:0.517702,validation accuracy:0.518322
epoch 1/800,training accuracy:0.520091,validation accuracy:0.519407
epoch 2/800,training accuracy:0.520243,validation accuracy:0.520408
epoch 3/800,training accuracy:0.519582,validation accuracy:0.519956
epoch 4/800,training accuracy:0.519705,validation accuracy:0.520246
epoch 5/800,training accuracy:0.520601,validation accuracy:0.519985
epoch 6/800,training accuracy:0.520029,validation accuracy:0.520866
epoch 7/800,training accuracy:0.520466,validation accuracy:0.520770
epoch 8/800,training accuracy:0.521167,validation accuracy:0.520865
epoch 9/800,training accuracy:0.521037,validation accuracy:0.520606
epoch 10/800,training accuracy:0.521145,validation accuracy:0.521579
epoch 11/800,training accuracy:0.521346,validation accuracy:0.521062
epoch 12/800,training accuracy:0.521921,validation accuracy:0.520895
epoch 13/800,training accuracy:0.521483,validation accuracy:0.521378
epoch 14/800,training accuracy:0.521402,validation accuracy:0.521313
epoch 15/800,training accuracy:0.521685,validation accuracy:0.521482
epoch 16/800,training accuracy:0.521848,validation accuracy:0.522133
epoch 17/800,training accuracy:0.522000,validation accuracy:0.521810
epoch 18/800,training accuracy:0.521988,validation accuracy:0.521460
epoch 19/800,training accuracy:0.522405,validation accuracy:0.522254
epoch 20/800,training accuracy:0.522286,validation accuracy:0.522107
epoch 21/800,training accuracy:0.521930,validation accuracy:0.523402
epoch 22/800,training accuracy:0.522514,validation accuracy:0.521749
epoch 23/800,training accuracy:0.523703,validation accuracy:0.522836
epoch 24/800,training accuracy:0.523033,validation accuracy:0.522853
epoch 25/800,training accuracy:0.523036,validation accuracy:0.523077
epoch 26/800,training accuracy:0.523704,validation accuracy:0.523715
epoch 27/800,training accuracy:0.524024,validation accuracy:0.523075
epoch 28/800,training accuracy:0.524388,validation accuracy:0.523387
epoch 29/800,training accuracy:0.524537,validation accuracy:0.523032
epoch 30/800,training accuracy:0.525405,validation accuracy:0.524644
epoch 31/800,training accuracy:0.524962,validation accuracy:0.525145
epoch 32/800,training accuracy:0.525927,validation accuracy:0.525774
epoch 33/800,training accuracy:0.526405,validation accuracy:0.526430
epoch 34/800,training accuracy:0.527331,validation accuracy:0.527059
epoch 35/800,training accuracy:0.527332,validation accuracy:0.526774
epoch 36/800,training accuracy:0.528020,validation accuracy:0.529142
epoch 37/800,training accuracy:0.528593,validation accuracy:0.528378
epoch 38/800,training accuracy:0.530095,validation accuracy:0.529727
epoch 39/800,training accuracy:0.531335,validation accuracy:0.530895
epoch 40/800,training accuracy:0.531558,validation accuracy:0.532064
epoch 41/800,training accuracy:0.532284,validation accuracy:0.532236
epoch 42/800,training accuracy:0.533481,validation accuracy:0.532822
epoch 43/800,training accuracy:0.534738,validation accuracy:0.535123
epoch 44/800,training accuracy:0.535785,validation accuracy:0.537036
epoch 45/800,training accuracy:0.537232,validation accuracy:0.537761
epoch 46/800,training accuracy:0.538905,validation accuracy:0.538137
epoch 47/800,training accuracy:0.540710,validation accuracy:0.540297
epoch 48/800,training accuracy:0.541012,validation accuracy:0.542349
epoch 49/800,training accuracy:0.543105,validation accuracy:0.542151
epoch 50/800,training accuracy:0.544139,validation accuracy:0.545614
epoch 51/800,training accuracy:0.546158,validation accuracy:0.547009
epoch 52/800,training accuracy:0.548073,validation accuracy:0.549194
epoch 53/800,training accuracy:0.549288,validation accuracy:0.548274
epoch 54/800,training accuracy:0.551135,validation accuracy:0.550773
epoch 55/800,training accuracy:0.551840,validation accuracy:0.552848
epoch 56/800,training accuracy:0.553243,validation accuracy:0.555220
epoch 57/800,training accuracy:0.556824,validation accuracy:0.556390
epoch 58/800,training accuracy:0.558717,validation accuracy:0.556316
epoch 59/800,training accuracy:0.558414,validation accuracy:0.560471
epoch 60/800,training accuracy:0.559961,validation accuracy:0.560178
epoch 61/800,training accuracy:0.562006,validation accuracy:0.562613
epoch 62/800,training accuracy:0.563518,validation accuracy:0.562002
epoch 63/800,training accuracy:0.565662,validation accuracy:0.564073
epoch 64/800,training accuracy:0.565589,validation accuracy:0.566383
epoch 65/800,training accuracy:0.567223,validation accuracy:0.568311
epoch 66/800,training accuracy:0.568312,validation accuracy:0.569820
epoch 67/800,training accuracy:0.569776,validation accuracy:0.569734
epoch 68/800,training accuracy:0.571615,validation accuracy:0.570483
epoch 69/800,training accuracy:0.572932,validation accuracy:0.573061
epoch 70/800,training accuracy:0.573104,validation accuracy:0.572967
epoch 71/800,training accuracy:0.573919,validation accuracy:0.573778
epoch 72/800,training accuracy:0.576526,validation accuracy:0.574720
epoch 73/800,training accuracy:0.576082,validation accuracy:0.576419
epoch 74/800,training accuracy:0.576716,validation accuracy:0.577035
epoch 75/800,training accuracy:0.578393,validation accuracy:0.578236
epoch 76/800,training accuracy:0.579239,validation accuracy:0.578586
epoch 77/800,training accuracy:0.580577,validation accuracy:0.578770
epoch 78/800,training accuracy:0.581056,validation accuracy:0.580633
epoch 79/800,training accuracy:0.581081,validation accuracy:0.580188
epoch 80/800,training accuracy:0.581932,validation accuracy:0.579983
epoch 81/800,training accuracy:0.582546,validation accuracy:0.582384
epoch 82/800,training accuracy:0.582906,validation accuracy:0.580528
epoch 83/800,training accuracy:0.583771,validation accuracy:0.582916
epoch 84/800,training accuracy:0.582897,validation accuracy:0.582853
epoch 85/800,training accuracy:0.583992,validation accuracy:0.583997
epoch 86/800,training accuracy:0.585526,validation accuracy:0.584259
epoch 87/800,training accuracy:0.586020,validation accuracy:0.584625
epoch 88/800,training accuracy:0.586373,validation accuracy:0.585507
epoch 89/800,training accuracy:0.585781,validation accuracy:0.585282
epoch 90/800,training accuracy:0.585916,validation accuracy:0.586614
epoch 91/800,training accuracy:0.585783,validation accuracy:0.586827
epoch 92/800,training accuracy:0.586832,validation accuracy:0.584961
epoch 93/800,training accuracy:0.587979,validation accuracy:0.585763
epoch 94/800,training accuracy:0.587971,validation accuracy:0.587319
epoch 95/800,training accuracy:0.588260,validation accuracy:0.587896
epoch 96/800,training accuracy:0.589423,validation accuracy:0.589064
epoch 97/800,training accuracy:0.589248,validation accuracy:0.588945
epoch 98/800,training accuracy:0.590874,validation accuracy:0.589084
epoch 99/800,training accuracy:0.589730,validation accuracy:0.588851
epoch 100/800,training accuracy:0.590402,validation accuracy:0.588510
epoch 101/800,training accuracy:0.590921,validation accuracy:0.589707
epoch 102/800,training accuracy:0.591042,validation accuracy:0.588975
epoch 103/800,training accuracy:0.590633,validation accuracy:0.590299
epoch 104/800,training accuracy:0.590438,validation accuracy:0.589787
epoch 105/800,training accuracy:0.590968,validation accuracy:0.590717
epoch 106/800,training accuracy:0.592150,validation accuracy:0.590656
epoch 107/800,training accuracy:0.591547,validation accuracy:0.590828
epoch 108/800,training accuracy:0.592000,validation accuracy:0.591292
epoch 109/800,training accuracy:0.592911,validation accuracy:0.591441
epoch 110/800,training accuracy:0.592694,validation accuracy:0.591724
epoch 111/800,training accuracy:0.592932,validation accuracy:0.592457
epoch 112/800,training accuracy:0.594026,validation accuracy:0.591466
epoch 113/800,training accuracy:0.593324,validation accuracy:0.591059
epoch 114/800,training accuracy:0.593396,validation accuracy:0.591867
epoch 115/800,training accuracy:0.593350,validation accuracy:0.592460
epoch 116/800,training accuracy:0.593206,validation accuracy:0.592446
epoch 117/800,training accuracy:0.593616,validation accuracy:0.592659
epoch 118/800,training accuracy:0.593411,validation accuracy:0.592913
epoch 119/800,training accuracy:0.594400,validation accuracy:0.593491
epoch 120/800,training accuracy:0.594391,validation accuracy:0.591720
epoch 121/800,training accuracy:0.594051,validation accuracy:0.592434
epoch 122/800,training accuracy:0.594740,validation accuracy:0.593662
epoch 123/800,training accuracy:0.594159,validation accuracy:0.593135
epoch 124/800,training accuracy:0.595733,validation accuracy:0.593629
epoch 125/800,training accuracy:0.595380,validation accuracy:0.593548
epoch 126/800,training accuracy:0.595286,validation accuracy:0.595308
epoch 127/800,training accuracy:0.595552,validation accuracy:0.593640
epoch 128/800,training accuracy:0.595330,validation accuracy:0.593090
epoch 129/800,training accuracy:0.596491,validation accuracy:0.593829
epoch 130/800,training accuracy:0.596039,validation accuracy:0.594168
epoch 131/800,training accuracy:0.595840,validation accuracy:0.593223
epoch 132/800,training accuracy:0.595985,validation accuracy:0.594366
epoch 133/800,training accuracy:0.596220,validation accuracy:0.593983
epoch 134/800,training accuracy:0.597284,validation accuracy:0.595402
epoch 135/800,training accuracy:0.595831,validation accuracy:0.595216
epoch 136/800,training accuracy:0.596567,validation accuracy:0.594875
epoch 137/800,training accuracy:0.596899,validation accuracy:0.595873
epoch 138/800,training accuracy:0.596748,validation accuracy:0.594650
epoch 139/800,training accuracy:0.596724,validation accuracy:0.596026
epoch 140/800,training accuracy:0.597115,validation accuracy:0.596210
epoch 141/800,training accuracy:0.597330,validation accuracy:0.596042
epoch 142/800,training accuracy:0.597364,validation accuracy:0.596921
epoch 143/800,training accuracy:0.597086,validation accuracy:0.596639
epoch 144/800,training accuracy:0.597996,validation accuracy:0.595791
epoch 145/800,training accuracy:0.597985,validation accuracy:0.595875
epoch 146/800,training accuracy:0.597920,validation accuracy:0.597396
epoch 147/800,training accuracy:0.598647,validation accuracy:0.596724
epoch 148/800,training accuracy:0.598433,validation accuracy:0.595026
epoch 149/800,training accuracy:0.597960,validation accuracy:0.596182
epoch 150/800,training accuracy:0.597950,validation accuracy:0.596944
epoch 151/800,training accuracy:0.598910,validation accuracy:0.595943
epoch 152/800,training accuracy:0.598028,validation accuracy:0.596668
epoch 153/800,training accuracy:0.597482,validation accuracy:0.596484
epoch 154/800,training accuracy:0.599195,validation accuracy:0.596325
epoch 155/800,training accuracy:0.599080,validation accuracy:0.597055
epoch 156/800,training accuracy:0.598663,validation accuracy:0.596505
epoch 157/800,training accuracy:0.599193,validation accuracy:0.596661
epoch 158/800,training accuracy:0.598370,validation accuracy:0.596818
epoch 159/800,training accuracy:0.598593,validation accuracy:0.597001
epoch 160/800,training accuracy:0.598733,validation accuracy:0.598023
epoch 161/800,training accuracy:0.599082,validation accuracy:0.597918
epoch 162/800,training accuracy:0.599005,validation accuracy:0.597166
epoch 163/800,training accuracy:0.598946,validation accuracy:0.596376
epoch 164/800,training accuracy:0.599586,validation accuracy:0.596954
epoch 165/800,training accuracy:0.598919,validation accuracy:0.597568
epoch 166/800,training accuracy:0.599267,validation accuracy:0.596740
epoch 167/800,training accuracy:0.599582,validation accuracy:0.597466
epoch 168/800,training accuracy:0.599876,validation accuracy:0.597420
epoch 169/800,training accuracy:0.599838,validation accuracy:0.597334
epoch 170/800,training accuracy:0.599205,validation accuracy:0.598565
epoch 171/800,training accuracy:0.599798,validation accuracy:0.599064
epoch 172/800,training accuracy:0.599922,validation accuracy:0.598160
epoch 173/800,training accuracy:0.600213,validation accuracy:0.599252
epoch 174/800,training accuracy:0.599939,validation accuracy:0.598601
epoch 175/800,training accuracy:0.600235,validation accuracy:0.597836
epoch 176/800,training accuracy:0.599972,validation accuracy:0.598607
epoch 177/800,training accuracy:0.599297,validation accuracy:0.599270
epoch 178/800,training accuracy:0.600142,validation accuracy:0.598304
epoch 179/800,training accuracy:0.600457,validation accuracy:0.598453
epoch 180/800,training accuracy:0.599834,validation accuracy:0.598987
epoch 181/800,training accuracy:0.600888,validation accuracy:0.597921
epoch 182/800,training accuracy:0.601000,validation accuracy:0.598755
epoch 183/800,training accuracy:0.600770,validation accuracy:0.598721
epoch 184/800,training accuracy:0.600337,validation accuracy:0.598427
epoch 185/800,training accuracy:0.600872,validation accuracy:0.599270
epoch 186/800,training accuracy:0.600701,validation accuracy:0.599235
epoch 187/800,training accuracy:0.600910,validation accuracy:0.598563
epoch 188/800,training accuracy:0.600340,validation accuracy:0.598447
epoch 189/800,training accuracy:0.600706,validation accuracy:0.599618
epoch 190/800,training accuracy:0.600694,validation accuracy:0.598943
epoch 191/800,training accuracy:0.600536,validation accuracy:0.599371
epoch 192/800,training accuracy:0.600729,validation accuracy:0.598574
epoch 193/800,training accuracy:0.601298,validation accuracy:0.599066
epoch 194/800,training accuracy:0.601642,validation accuracy:0.598640
epoch 195/800,training accuracy:0.601508,validation accuracy:0.598555
epoch 196/800,training accuracy:0.600924,validation accuracy:0.600111
epoch 197/800,training accuracy:0.601581,validation accuracy:0.599141
epoch 198/800,training accuracy:0.600966,validation accuracy:0.599346
epoch 199/800,training accuracy:0.601272,validation accuracy:0.599161
epoch 200/800,training accuracy:0.601133,validation accuracy:0.598598
epoch 201/800,training accuracy:0.601718,validation accuracy:0.599617
epoch 202/800,training accuracy:0.600787,validation accuracy:0.601019
epoch 203/800,training accuracy:0.601440,validation accuracy:0.599173
epoch 204/800,training accuracy:0.601568,validation accuracy:0.599047
epoch 205/800,training accuracy:0.601946,validation accuracy:0.599964
epoch 206/800,training accuracy:0.600842,validation accuracy:0.599386
epoch 207/800,training accuracy:0.601584,validation accuracy:0.599943
epoch 208/800,training accuracy:0.601605,validation accuracy:0.599399
epoch 209/800,training accuracy:0.601492,validation accuracy:0.599339
epoch 210/800,training accuracy:0.601931,validation accuracy:0.600233
epoch 211/800,training accuracy:0.601790,validation accuracy:0.599429
epoch 212/800,training accuracy:0.601571,validation accuracy:0.599954
epoch 213/800,training accuracy:0.601817,validation accuracy:0.599854
epoch 214/800,training accuracy:0.601790,validation accuracy:0.599769
epoch 215/800,training accuracy:0.601387,validation accuracy:0.599249
epoch 216/800,training accuracy:0.601684,validation accuracy:0.600597
