epoch 0/800,training accuracy:0.519243,validation accuracy:0.520319
epoch 1/800,training accuracy:0.520977,validation accuracy:0.520406
epoch 2/800,training accuracy:0.520996,validation accuracy:0.520861
epoch 3/800,training accuracy:0.521249,validation accuracy:0.520883
epoch 4/800,training accuracy:0.521244,validation accuracy:0.521164
epoch 5/800,training accuracy:0.521303,validation accuracy:0.521105
epoch 6/800,training accuracy:0.521184,validation accuracy:0.521197
epoch 7/800,training accuracy:0.521349,validation accuracy:0.520891
epoch 8/800,training accuracy:0.521414,validation accuracy:0.520880
epoch 9/800,training accuracy:0.521446,validation accuracy:0.521154
epoch 10/800,training accuracy:0.521351,validation accuracy:0.520980
epoch 11/800,training accuracy:0.521241,validation accuracy:0.521266
epoch 12/800,training accuracy:0.521550,validation accuracy:0.521068
epoch 13/800,training accuracy:0.521327,validation accuracy:0.521001
epoch 14/800,training accuracy:0.521341,validation accuracy:0.521039
epoch 15/800,training accuracy:0.521441,validation accuracy:0.521035
epoch 16/800,training accuracy:0.521559,validation accuracy:0.521134
epoch 17/800,training accuracy:0.521576,validation accuracy:0.521296
epoch 18/800,training accuracy:0.521493,validation accuracy:0.521171
epoch 19/800,training accuracy:0.521468,validation accuracy:0.521063
epoch 20/800,training accuracy:0.521404,validation accuracy:0.521162
epoch 21/800,training accuracy:0.521531,validation accuracy:0.521210
epoch 22/800,training accuracy:0.521455,validation accuracy:0.521210
epoch 23/800,training accuracy:0.521709,validation accuracy:0.521026
epoch 24/800,training accuracy:0.521510,validation accuracy:0.521309
epoch 25/800,training accuracy:0.521572,validation accuracy:0.521197
epoch 26/800,training accuracy:0.521731,validation accuracy:0.520970
epoch 27/800,training accuracy:0.521742,validation accuracy:0.521546
epoch 28/800,training accuracy:0.521911,validation accuracy:0.521358
epoch 29/800,training accuracy:0.521646,validation accuracy:0.521448
epoch 30/800,training accuracy:0.521844,validation accuracy:0.521358
epoch 31/800,training accuracy:0.521863,validation accuracy:0.521309
epoch 32/800,training accuracy:0.521879,validation accuracy:0.521937
epoch 33/800,training accuracy:0.521880,validation accuracy:0.521807
epoch 34/800,training accuracy:0.522254,validation accuracy:0.521706
epoch 35/800,training accuracy:0.522132,validation accuracy:0.521509
epoch 36/800,training accuracy:0.522325,validation accuracy:0.521893
epoch 37/800,training accuracy:0.522897,validation accuracy:0.522167
epoch 38/800,training accuracy:0.522445,validation accuracy:0.522195
epoch 39/800,training accuracy:0.522585,validation accuracy:0.521801
epoch 40/800,training accuracy:0.522909,validation accuracy:0.522742
epoch 41/800,training accuracy:0.522234,validation accuracy:0.522246
epoch 42/800,training accuracy:0.523475,validation accuracy:0.523283
epoch 43/800,training accuracy:0.523351,validation accuracy:0.522584
