epoch 0/600,training accuracy:0.480571,validation accuracy:0.505977
epoch 1/600,training accuracy:0.519984,validation accuracy:0.521246
epoch 2/600,training accuracy:0.521529,validation accuracy:0.521301
epoch 3/600,training accuracy:0.521654,validation accuracy:0.521380
epoch 4/600,training accuracy:0.521760,validation accuracy:0.521662
epoch 5/600,training accuracy:0.521953,validation accuracy:0.522256
epoch 6/600,training accuracy:0.522472,validation accuracy:0.522762
epoch 7/600,training accuracy:0.523479,validation accuracy:0.524008
epoch 8/600,training accuracy:0.524603,validation accuracy:0.525973
epoch 9/600,training accuracy:0.527531,validation accuracy:0.528340
epoch 10/600,training accuracy:0.529068,validation accuracy:0.530983
epoch 11/600,training accuracy:0.533377,validation accuracy:0.535273
epoch 12/600,training accuracy:0.537646,validation accuracy:0.539660
epoch 13/600,training accuracy:0.542794,validation accuracy:0.545634
epoch 14/600,training accuracy:0.548388,validation accuracy:0.550353
epoch 15/600,training accuracy:0.553946,validation accuracy:0.555163
epoch 16/600,training accuracy:0.558212,validation accuracy:0.559579
epoch 17/600,training accuracy:0.563550,validation accuracy:0.564702
epoch 18/600,training accuracy:0.567319,validation accuracy:0.568224
epoch 19/600,training accuracy:0.570446,validation accuracy:0.571090
epoch 20/600,training accuracy:0.574705,validation accuracy:0.574025
epoch 21/600,training accuracy:0.576386,validation accuracy:0.576653
epoch 22/600,training accuracy:0.579179,validation accuracy:0.579456
epoch 23/600,training accuracy:0.581049,validation accuracy:0.581280
epoch 24/600,training accuracy:0.583503,validation accuracy:0.583216
epoch 25/600,training accuracy:0.585170,validation accuracy:0.585287
epoch 26/600,training accuracy:0.586682,validation accuracy:0.586887
epoch 27/600,training accuracy:0.588220,validation accuracy:0.588218
epoch 28/600,training accuracy:0.589392,validation accuracy:0.589147
epoch 29/600,training accuracy:0.590377,validation accuracy:0.590324
epoch 30/600,training accuracy:0.591729,validation accuracy:0.591124
epoch 31/600,training accuracy:0.592961,validation accuracy:0.592313
epoch 32/600,training accuracy:0.593745,validation accuracy:0.593178
epoch 33/600,training accuracy:0.594413,validation accuracy:0.594256
epoch 34/600,training accuracy:0.595377,validation accuracy:0.595070
epoch 35/600,training accuracy:0.596282,validation accuracy:0.595759
epoch 36/600,training accuracy:0.596942,validation accuracy:0.596342
epoch 37/600,training accuracy:0.597559,validation accuracy:0.597232
epoch 38/600,training accuracy:0.598137,validation accuracy:0.598036
epoch 39/600,training accuracy:0.598964,validation accuracy:0.598529
epoch 40/600,training accuracy:0.599383,validation accuracy:0.599304
epoch 41/600,training accuracy:0.599962,validation accuracy:0.599816
epoch 42/600,training accuracy:0.600487,validation accuracy:0.600119
epoch 43/600,training accuracy:0.600910,validation accuracy:0.600533
epoch 44/600,training accuracy:0.601317,validation accuracy:0.600968
epoch 45/600,training accuracy:0.601743,validation accuracy:0.601180
