epoch 0/200,training accuracy:0.532541,validation accuracy:0.539555
epoch 1/200,training accuracy:0.540400,validation accuracy:0.539780
epoch 2/200,training accuracy:0.540959,validation accuracy:0.540797
epoch 3/200,training accuracy:0.544397,validation accuracy:0.548076
epoch 4/200,training accuracy:0.555477,validation accuracy:0.563796
epoch 5/200,training accuracy:0.571259,validation accuracy:0.578645
epoch 6/200,training accuracy:0.583852,validation accuracy:0.588738
epoch 7/200,training accuracy:0.593352,validation accuracy:0.596454
epoch 8/200,training accuracy:0.600836,validation accuracy:0.602992
epoch 9/200,training accuracy:0.605348,validation accuracy:0.607701
epoch 10/200,training accuracy:0.609008,validation accuracy:0.610892
epoch 11/200,training accuracy:0.612985,validation accuracy:0.614412
epoch 12/200,training accuracy:0.615577,validation accuracy:0.616738
epoch 13/200,training accuracy:0.617269,validation accuracy:0.618911
epoch 14/200,training accuracy:0.619269,validation accuracy:0.621276
epoch 15/200,training accuracy:0.621850,validation accuracy:0.622772
epoch 16/200,training accuracy:0.623132,validation accuracy:0.623783
epoch 17/200,training accuracy:0.624605,validation accuracy:0.625445
epoch 18/200,training accuracy:0.626034,validation accuracy:0.626479
epoch 19/200,training accuracy:0.626631,validation accuracy:0.627198
epoch 20/200,training accuracy:0.627698,validation accuracy:0.627883
epoch 21/200,training accuracy:0.628412,validation accuracy:0.628774
epoch 22/200,training accuracy:0.629276,validation accuracy:0.630524
epoch 23/200,training accuracy:0.630326,validation accuracy:0.631456
epoch 24/200,training accuracy:0.630681,validation accuracy:0.631026
epoch 25/200,training accuracy:0.630855,validation accuracy:0.631658
epoch 26/200,training accuracy:0.631577,validation accuracy:0.632859
epoch 27/200,training accuracy:0.632057,validation accuracy:0.632878
epoch 28/200,training accuracy:0.632489,validation accuracy:0.632625
epoch 29/200,training accuracy:0.632980,validation accuracy:0.633368
epoch 30/200,training accuracy:0.633746,validation accuracy:0.633630
epoch 31/200,training accuracy:0.633864,validation accuracy:0.633781
epoch 32/200,training accuracy:0.634445,validation accuracy:0.634250
epoch 33/200,training accuracy:0.634392,validation accuracy:0.634650
epoch 34/200,training accuracy:0.634778,validation accuracy:0.635414
epoch 35/200,training accuracy:0.634774,validation accuracy:0.635254
epoch 36/200,training accuracy:0.635692,validation accuracy:0.635059
epoch 37/200,training accuracy:0.635214,validation accuracy:0.635697
epoch 38/200,training accuracy:0.635751,validation accuracy:0.635624
epoch 39/200,training accuracy:0.635917,validation accuracy:0.636121
epoch 40/200,training accuracy:0.636149,validation accuracy:0.636131
epoch 41/200,training accuracy:0.636597,validation accuracy:0.636140
epoch 42/200,training accuracy:0.636641,validation accuracy:0.636833
epoch 43/200,training accuracy:0.636912,validation accuracy:0.636464
epoch 44/200,training accuracy:0.637029,validation accuracy:0.636620
epoch 45/200,training accuracy:0.637359,validation accuracy:0.637630
epoch 46/200,training accuracy:0.637313,validation accuracy:0.637124
epoch 47/200,training accuracy:0.637350,validation accuracy:0.636825
epoch 48/200,training accuracy:0.637789,validation accuracy:0.637044
epoch 49/200,training accuracy:0.637410,validation accuracy:0.637604
epoch 50/200,training accuracy:0.637764,validation accuracy:0.638007
epoch 51/200,training accuracy:0.637797,validation accuracy:0.637587
epoch 52/200,training accuracy:0.638061,validation accuracy:0.637228
epoch 53/200,training accuracy:0.637885,validation accuracy:0.637676
epoch 54/200,training accuracy:0.638174,validation accuracy:0.637899
epoch 55/200,training accuracy:0.638248,validation accuracy:0.638320
epoch 56/200,training accuracy:0.638442,validation accuracy:0.638686
epoch 57/200,training accuracy:0.638226,validation accuracy:0.638000
epoch 58/200,training accuracy:0.638612,validation accuracy:0.638278
epoch 59/200,training accuracy:0.638487,validation accuracy:0.638248
epoch 60/200,training accuracy:0.638616,validation accuracy:0.638870
epoch 61/200,training accuracy:0.638716,validation accuracy:0.637997
epoch 62/200,training accuracy:0.638763,validation accuracy:0.638732
epoch 63/200,training accuracy:0.638742,validation accuracy:0.638757
epoch 64/200,training accuracy:0.638810,validation accuracy:0.638933
epoch 65/200,training accuracy:0.638637,validation accuracy:0.638795
epoch 66/200,training accuracy:0.639341,validation accuracy:0.639084
epoch 67/200,training accuracy:0.638950,validation accuracy:0.638617
