epoch 103/800,training accuracy:0.639715,validation accuracy:0.639209
epoch 104/800,training accuracy:0.639947,validation accuracy:0.638970
epoch 105/800,training accuracy:0.640016,validation accuracy:0.639723
epoch 106/800,training accuracy:0.640120,validation accuracy:0.639589
epoch 107/800,training accuracy:0.640103,validation accuracy:0.639680
epoch 108/800,training accuracy:0.640733,validation accuracy:0.639218
epoch 109/800,training accuracy:0.639957,validation accuracy:0.639467
epoch 110/800,training accuracy:0.640397,validation accuracy:0.639537
epoch 111/800,training accuracy:0.640182,validation accuracy:0.639469
epoch 112/800,training accuracy:0.640576,validation accuracy:0.640223
epoch 113/800,training accuracy:0.640312,validation accuracy:0.639690
epoch 114/800,training accuracy:0.640448,validation accuracy:0.639175
epoch 115/800,training accuracy:0.640470,validation accuracy:0.640074
epoch 116/800,training accuracy:0.640433,validation accuracy:0.639534
epoch 117/800,training accuracy:0.641089,validation accuracy:0.639641
epoch 118/800,training accuracy:0.640977,validation accuracy:0.640145
epoch 119/800,training accuracy:0.641003,validation accuracy:0.639533
epoch 120/800,training accuracy:0.641272,validation accuracy:0.640314
epoch 121/800,training accuracy:0.641547,validation accuracy:0.639517
epoch 122/800,training accuracy:0.641265,validation accuracy:0.639852
epoch 123/800,training accuracy:0.641022,validation accuracy:0.640212
epoch 124/800,training accuracy:0.641115,validation accuracy:0.640729
epoch 125/800,training accuracy:0.640989,validation accuracy:0.640552
epoch 126/800,training accuracy:0.641207,validation accuracy:0.640179
epoch 127/800,training accuracy:0.641500,validation accuracy:0.640374
epoch 128/800,training accuracy:0.641035,validation accuracy:0.640481
epoch 129/800,training accuracy:0.641566,validation accuracy:0.640686
epoch 130/800,training accuracy:0.641312,validation accuracy:0.640972
epoch 131/800,training accuracy:0.641666,validation accuracy:0.640453
epoch 132/800,training accuracy:0.641781,validation accuracy:0.640098
epoch 133/800,training accuracy:0.641295,validation accuracy:0.640829
epoch 134/800,training accuracy:0.641576,validation accuracy:0.640934
epoch 135/800,training accuracy:0.641932,validation accuracy:0.641332
epoch 136/800,training accuracy:0.641666,validation accuracy:0.641117
epoch 137/800,training accuracy:0.642365,validation accuracy:0.640787
epoch 138/800,training accuracy:0.642211,validation accuracy:0.640699
epoch 139/800,training accuracy:0.642306,validation accuracy:0.640563
epoch 140/800,training accuracy:0.642030,validation accuracy:0.640848
epoch 141/800,training accuracy:0.642151,validation accuracy:0.640964
epoch 142/800,training accuracy:0.642151,validation accuracy:0.641129
epoch 143/800,training accuracy:0.642066,validation accuracy:0.641078
epoch 144/800,training accuracy:0.642387,validation accuracy:0.641171
epoch 145/800,training accuracy:0.642420,validation accuracy:0.641679
epoch 146/800,training accuracy:0.642527,validation accuracy:0.641688
epoch 147/800,training accuracy:0.642584,validation accuracy:0.640912
epoch 148/800,training accuracy:0.642754,validation accuracy:0.641985
epoch 149/800,training accuracy:0.642404,validation accuracy:0.641467
epoch 150/800,training accuracy:0.642725,validation accuracy:0.641224
epoch 151/800,training accuracy:0.642677,validation accuracy:0.641663
epoch 152/800,training accuracy:0.642856,validation accuracy:0.641106
epoch 153/800,training accuracy:0.642999,validation accuracy:0.641308
epoch 154/800,training accuracy:0.642833,validation accuracy:0.641971
epoch 155/800,training accuracy:0.642952,validation accuracy:0.641517
epoch 156/800,training accuracy:0.643240,validation accuracy:0.641304
epoch 157/800,training accuracy:0.642789,validation accuracy:0.642262
epoch 158/800,training accuracy:0.643069,validation accuracy:0.641733
epoch 159/800,training accuracy:0.643244,validation accuracy:0.641612
epoch 160/800,training accuracy:0.643303,validation accuracy:0.641974
epoch 161/800,training accuracy:0.642956,validation accuracy:0.641657
epoch 162/800,training accuracy:0.643065,validation accuracy:0.641542
epoch 163/800,training accuracy:0.643244,validation accuracy:0.642291
epoch 164/800,training accuracy:0.643330,validation accuracy:0.641883
epoch 165/800,training accuracy:0.643563,validation accuracy:0.641912
epoch 166/800,training accuracy:0.643258,validation accuracy:0.641588
epoch 167/800,training accuracy:0.643599,validation accuracy:0.642299
epoch 168/800,training accuracy:0.643414,validation accuracy:0.641962
epoch 169/800,training accuracy:0.643779,validation accuracy:0.641875
epoch 170/800,training accuracy:0.643534,validation accuracy:0.642373
epoch 171/800,training accuracy:0.643839,validation accuracy:0.642535
epoch 172/800,training accuracy:0.643697,validation accuracy:0.642750
epoch 173/800,training accuracy:0.643992,validation accuracy:0.642883
epoch 174/800,training accuracy:0.643777,validation accuracy:0.642539
epoch 175/800,training accuracy:0.643645,validation accuracy:0.641781
epoch 176/800,training accuracy:0.643964,validation accuracy:0.642972
epoch 177/800,training accuracy:0.644294,validation accuracy:0.642799
epoch 178/800,training accuracy:0.643859,validation accuracy:0.643208
epoch 179/800,training accuracy:0.644253,validation accuracy:0.642988
epoch 180/800,training accuracy:0.644214,validation accuracy:0.643389
epoch 181/800,training accuracy:0.644304,validation accuracy:0.642405
epoch 182/800,training accuracy:0.644597,validation accuracy:0.642737
epoch 183/800,training accuracy:0.643787,validation accuracy:0.642485
epoch 184/800,training accuracy:0.644511,validation accuracy:0.642579
epoch 185/800,training accuracy:0.644378,validation accuracy:0.642854
epoch 186/800,training accuracy:0.644572,validation accuracy:0.643005
epoch 187/800,training accuracy:0.644548,validation accuracy:0.643246
epoch 188/800,training accuracy:0.644296,validation accuracy:0.643186
epoch 189/800,training accuracy:0.644672,validation accuracy:0.643237
epoch 190/800,training accuracy:0.644588,validation accuracy:0.643276
epoch 191/800,training accuracy:0.644793,validation accuracy:0.643441
epoch 192/800,training accuracy:0.644777,validation accuracy:0.643812
epoch 193/800,training accuracy:0.645094,validation accuracy:0.643435
epoch 194/800,training accuracy:0.644753,validation accuracy:0.643242
epoch 195/800,training accuracy:0.644585,validation accuracy:0.643318
epoch 196/800,training accuracy:0.645040,validation accuracy:0.643108
epoch 197/800,training accuracy:0.644834,validation accuracy:0.643100
epoch 198/800,training accuracy:0.645204,validation accuracy:0.643437
epoch 199/800,training accuracy:0.645094,validation accuracy:0.643648
epoch 200/800,training accuracy:0.645374,validation accuracy:0.643941
epoch 201/800,training accuracy:0.645264,validation accuracy:0.643170
epoch 202/800,training accuracy:0.645469,validation accuracy:0.643270
epoch 203/800,training accuracy:0.645422,validation accuracy:0.643568
epoch 204/800,training accuracy:0.645458,validation accuracy:0.643358
epoch 205/800,training accuracy:0.645172,validation accuracy:0.644056
epoch 206/800,training accuracy:0.645022,validation accuracy:0.644117
epoch 207/800,training accuracy:0.645573,validation accuracy:0.643339
epoch 208/800,training accuracy:0.645824,validation accuracy:0.643269
epoch 209/800,training accuracy:0.645680,validation accuracy:0.643932
epoch 210/800,training accuracy:0.646101,validation accuracy:0.643830
epoch 211/800,training accuracy:0.646269,validation accuracy:0.644041
epoch 212/800,training accuracy:0.645796,validation accuracy:0.644369
epoch 213/800,training accuracy:0.646068,validation accuracy:0.643699
epoch 214/800,training accuracy:0.645819,validation accuracy:0.643745
epoch 215/800,training accuracy:0.646000,validation accuracy:0.643987
epoch 216/800,training accuracy:0.646154,validation accuracy:0.643547
epoch 217/800,training accuracy:0.645904,validation accuracy:0.644055
epoch 218/800,training accuracy:0.646333,validation accuracy:0.644062
