epoch 0/800,training accuracy:0.539523,validation accuracy:0.539488
epoch 1/800,training accuracy:0.540274,validation accuracy:0.539493
epoch 2/800,training accuracy:0.540298,validation accuracy:0.539490
epoch 3/800,training accuracy:0.540338,validation accuracy:0.539500
epoch 4/800,training accuracy:0.540338,validation accuracy:0.539506
epoch 5/800,training accuracy:0.540337,validation accuracy:0.539503
epoch 6/800,training accuracy:0.540289,validation accuracy:0.539500
epoch 7/800,training accuracy:0.540290,validation accuracy:0.539501
epoch 8/800,training accuracy:0.540332,validation accuracy:0.539508
epoch 9/800,training accuracy:0.540315,validation accuracy:0.539503
epoch 10/800,training accuracy:0.540264,validation accuracy:0.539513
epoch 11/800,training accuracy:0.540325,validation accuracy:0.539511
epoch 12/800,training accuracy:0.540299,validation accuracy:0.539530
epoch 13/800,training accuracy:0.540295,validation accuracy:0.539546
epoch 14/800,training accuracy:0.540343,validation accuracy:0.539575
epoch 15/800,training accuracy:0.540405,validation accuracy:0.539611
epoch 16/800,training accuracy:0.540519,validation accuracy:0.539775
epoch 17/800,training accuracy:0.540761,validation accuracy:0.540230
epoch 18/800,training accuracy:0.541541,validation accuracy:0.541302
epoch 19/800,training accuracy:0.542953,validation accuracy:0.543261
epoch 20/800,training accuracy:0.545346,validation accuracy:0.546503
epoch 21/800,training accuracy:0.549356,validation accuracy:0.552464
epoch 22/800,training accuracy:0.555810,validation accuracy:0.558772
epoch 23/800,training accuracy:0.564300,validation accuracy:0.567741
epoch 24/800,training accuracy:0.572922,validation accuracy:0.576783
epoch 25/800,training accuracy:0.582433,validation accuracy:0.585646
epoch 26/800,training accuracy:0.590670,validation accuracy:0.593399
epoch 27/800,training accuracy:0.597553,validation accuracy:0.600172
epoch 28/800,training accuracy:0.603239,validation accuracy:0.605692
epoch 29/800,training accuracy:0.607907,validation accuracy:0.609409
epoch 30/800,training accuracy:0.612212,validation accuracy:0.612882
epoch 31/800,training accuracy:0.615158,validation accuracy:0.616975
epoch 32/800,training accuracy:0.618357,validation accuracy:0.618340
